"payment_month","user_id","game_name","total_revenue","new_mrr","expansion_revenue","contraction_revenue","back_from_churn_revenue","churned_revenue","churn_month","language","has_older_device_model","age"
2022-04-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,12.03,12.03,,,,,,ru,false,34
2022-05-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,28.32,,16.29,,,,,ru,false,34
2022-06-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,29.07,,0.75,,,,,ru,false,34
2022-07-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,25.23,,,-3.84,,,,ru,false,34
2022-08-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,18.9,,,-6.33,,,,ru,false,34
2022-09-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,48.72,,29.82,,,,,ru,false,34
2022-10-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,25.74,,,-22.98,,,,ru,false,34
2022-11-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,39.78,,14.04,,,39.78,2022-12-01,ru,false,34
2022-05-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,13.8,13.8,,,,,,uk,false,31
2022-06-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,48.21,,34.41,,,,,uk,false,31
2022-07-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,52.77,,4.56,,,,,uk,false,31
2022-08-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,40.83,,,-11.94,,,,uk,false,31
2022-09-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,35.49,,,-5.34,,,,uk,false,31
2022-10-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,35.73,,0.24,,,,,uk,false,31
2022-11-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,72.93,,37.20,,,72.93,2022-12-01,uk,false,31
2022-09-01,"0afix9qVNfU3GJY1n0QGkw==",game 3,32.28,32.28,,,,,,uk,false,25
2022-10-01,"0afix9qVNfU3GJY1n0QGkw==",game 3,13.23,,,-19.05,,13.23,2022-11-01,uk,false,25
2022-11-01,"0dJXy70SFjxVR6YgOPZzMQ==",game 3,17.19,17.19,,,,17.19,2022-12-01,uk,false,27
2022-07-01,"14RMzQMoG017OLkaDBFjng==",game 3,14.43,14.43,,,,14.43,2022-08-01,uk,false,36
2022-11-01,"14RMzQMoG017OLkaDBFjng==",game 3,12.75,,,,12.75,12.75,2022-12-01,uk,false,36
2022-08-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,89.04,89.04,,,,,,ru,false,23
2022-09-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,34.8,,,-54.24,,,,ru,false,23
2022-10-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,55.80,,21.00,,,,,ru,false,23
2022-11-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,148.14,,92.34,,,148.14,2022-12-01,ru,false,23
2022-08-01,"1dvc3uv3gFy83YY5oJeFkQ==",game 3,45.93,45.93,,,,45.93,2022-09-01,uk,false,17
2022-06-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,56.13,56.13,,,,,,ru,false,25
2022-07-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,16.29,,,-39.84,,,,ru,false,25
2022-08-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,21.18,,4.89,,,,,ru,false,25
2022-09-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,13.71,,,-7.47,,,,ru,false,25
2022-10-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,46.98,,33.27,,,,,ru,false,25
2022-11-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,20.13,,,-26.85,,,,ru,false,25
2022-12-01,"1jx1AjqUwE9sbCyafQnUNQ==",game 3,38.37,,18.24,,,38.37,2023-01-01,ru,false,25
2022-09-01,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,58.20,58.20,,,,,,uk,false,22
2022-10-01,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,77.19,,18.99,,,,,uk,false,22
2022-11-01,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,63.27,,,-13.92,,,,uk,false,22
2022-12-01,"1KzlDBp5hORL7Y5PBaB+0g==",game 3,21.72,,,-41.55,,21.72,2023-01-01,uk,false,22
2022-09-01,"1tIsLi6U0zW1RIuaViNanA==",game 3,33.36,33.36,,,,,,uk,false,20
2022-10-01,"1tIsLi6U0zW1RIuaViNanA==",game 3,29.25,,,-4.11,,,,uk,false,20
2022-11-01,"1tIsLi6U0zW1RIuaViNanA==",game 3,18.15,,,-11.10,,,,uk,false,20
2022-12-01,"1tIsLi6U0zW1RIuaViNanA==",game 3,69.48,,51.33,,,69.48,2023-01-01,uk,false,20
2022-12-01,"29qvbD06oXdmg5G7X/Wigw==",game 3,24.51,24.51,,,,24.51,2023-01-01,uk,false,17
