"payment_month","user_id","game_name","revenue_amount","revenue_type","language","has_older_device_model","age"
2022-04-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,12.03,revenue,ru,false,34
2022-05-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,28.32,revenue,ru,false,34
2022-06-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,29.07,revenue,ru,false,34
2022-07-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,25.23,revenue,ru,false,34
2022-08-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,18.9,revenue,ru,false,34
2022-09-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,48.72,revenue,ru,false,34
2022-10-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,25.74,revenue,ru,false,34
2022-11-01,"06RPvlsFPCmM9ag+iSM/Ag==",game 3,39.78,revenue,ru,false,34
2022-05-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,13.8,revenue,uk,false,31
2022-06-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,48.21,revenue,uk,false,31
2022-07-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,52.77,revenue,uk,false,31
2022-08-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,40.83,revenue,uk,false,31
2022-09-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,35.49,revenue,uk,false,31
2022-10-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,35.73,revenue,uk,false,31
2022-11-01,"0A5RkQrm+GBgG7KSFk/xhw==",game 3,72.93,revenue,uk,false,31
2022-09-01,"0afix9qVNfU3GJY1n0QGkw==",game 3,32.28,revenue,uk,false,25
2022-10-01,"0afix9qVNfU3GJY1n0QGkw==",game 3,13.23,revenue,uk,false,25
2022-11-01,"0dJXy70SFjxVR6YgOPZzMQ==",game 3,17.19,revenue,uk,false,27
2022-07-01,"14RMzQMoG017OLkaDBFjng==",game 3,14.43,revenue,uk,false,36
2022-11-01,"14RMzQMoG017OLkaDBFjng==",game 3,12.75,revenue,uk,false,36
2022-08-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,89.04,revenue,ru,false,23
2022-09-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,34.8,revenue,ru,false,23
2022-10-01,"1BBMagZRq/39AV1l2rm4Iw==",game 3,55.80,revenue,ru,false,23
