"user_id","game_name","payment_date","revenue_amount_usd"
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-08-18,15.87
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-08-09,19.11
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,2022-05-04,35.82
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-10-25,18.57
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-08-14,18.9
f9cWBjiN4c8lXAkBhdqK6Q==,game 3,2022-10-25,37.68
"7L4SKPGMd33lnSOq6PWyYg==",game 3,2022-12-04,16.29
ngOdQ8biXsraLxTHS862fw==,game 3,2022-07-02,13.92
lHTzlMgVj6HJZc31yCCDng==,game 3,2022-11-11,14.73
FbbhrtuL39vfmatF2ObVfA==,game 3,2022-11-28,18.96
GetHmCsisRTAnwhuBEMa9Q==,game 3,2022-12-03,19.5
YC2fZQTQXV2UR1/WHDrVqw==,game 3,2022-11-06,17.4
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-12-17,13.5
dpfu6t8G4blqMn55KM8bSg==,game 3,2022-05-23,15.81
BOcGlFXXESDUbttxDzQIQw==,game 3,2022-08-29,17.49
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-05-14,14.64
orbgZNBGuhZZx63HTAbyIw==,game 3,2022-09-23,14.7
"4oH5e29koOH9zNYW8Kwcsg==",game 3,2022-07-06,18.06
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-05-29,21.09
Y/nf8iBu/UCaNAuIRRjVwA==,game 3,2022-09-25,20.16
ZU1vF9G4TjB+iEZ001MU3g==,game 3,2022-07-03,22.2
wjWDL/+l9D+LVt/9gNMH5Q==,game 3,2022-10-17,23.67
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-10-29,18.96
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-10-30,41.34
BOcGlFXXESDUbttxDzQIQw==,game 3,2022-09-09,17.43
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-06-25,18.36
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,2022-07-29,19.23
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-11-10,19.71
RQBsCvxlogTNUidSygqgcQ==,game 3,2022-08-04,20.04
eLWkkjmSeHVGjb9tp+CJpQ==,game 3,2022-08-05,17.64
IdKyooyTjAbvCA7p+ujKCw==,game 3,2022-05-13,16.08
G9053rs6jbKItKUhrUdLew==,game 3,2022-09-29,12.54
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-07-04,27.42
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-10-11,15.33
Hamw6F2EZmJfI2glmE2NEg==,game 3,2022-07-21,16.29
xnLJlU804PSS9tXKmm7gZQ==,game 3,2022-11-03,12.87
jQW6YmVUlZdePPY7F9NgMg==,game 3,2022-11-01,12.96
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-12-25,31.47
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-10-07,23.94
er3/fOrRpmyqiRaC0CaFcg==,game 3,2022-06-13,38.28
"9I0ppB2UxsJPIO8BpHQfEw==",game 3,2022-11-13,13.95
"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,2022-06-24,17.43
An7gG7hfETivAjfokQv3Ww==,game 3,2022-09-08,35.01
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-11-22,12.81
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-11-16,14.52
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-08-25,19.17
crKNTIblJ0113SKEtSJQHw==,game 3,2022-05-31,25.29
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-10-06,24.09
fH7uxifYBCx0TULRrcqajg==,game 3,2022-12-26,18.36
xZMY1f3dijkAd2lWkkI4Ow==,game 3,2022-12-09,24.69
"72brUr/DKItStlTen5pHYg==",game 3,2022-06-21,25.2
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-07-24,18.27
"1dvc3uv3gFy83YY5oJeFkQ==",game 3,2022-08-19,22.44
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-09-28,18.93
HQB3hZuYcu0z8jVIl5bbug==,game 3,2022-12-08,22.26
ORSvkhCut21rsk0cVtJfJA==,game 3,2022-12-11,34.35
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-06-21,19.41
mRT725ZK68AhE3Sk9xH5cw==,game 3,2022-12-05,26.55
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-12-24,24.69
"75lEf3nSWLSf6GncqhR9gQ==",game 3,2022-07-17,15.06
JBV4ilPNTtWevrqq146kyg==,game 3,2022-07-07,17.43
TamEW7rhOwxDSDgAWZHDnQ==,game 3,2022-12-15,21.6
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-07-12,30.78
+osJakLn8jv4bzFmPieelw==,game 3,2022-12-04,16.32
gPRMy8HkmaiyX+13OxuP/A==,game 3,2022-10-08,38.22
eoqO46DzxSrKA2rredUNyQ==,game 3,2022-10-20,14.22
"2FYEYdoJMUOtbJ6TruruWA==",game 3,2022-08-02,14.19
Yh9mYycPmc8CH9Rbjhu3ZQ==,game 3,2022-09-25,12.09
dUXVADLWvf2uvh+Q6TNrMw==,game 3,2022-07-06,12.15
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-11-08,18.51
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-06-11,17.13
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-12-18,30.9
"7zai/c69uF/NhB95HgKuYw==",game 3,2022-08-02,18.33
dVTYjVpXbOM/sOgCq4CV0g==,game 3,2022-10-12,23.43
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-10-27,19.8
BJlqmsfEshc/QjsD7VgEjg==,game 3,2022-06-24,12.12
ORSvkhCut21rsk0cVtJfJA==,game 3,2022-11-30,14.19
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-10-18,22.38
s27V1tbCAysovKSY1XcdWQ==,game 3,2022-07-05,13.56
ilnMSoPJHAYMegDX02XG+w==,game 3,2022-05-23,28.11
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-03-23,24.09
geIiJ1L04w2qAE0qzQUb2g==,game 3,2022-09-04,22.92
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-11-28,27.75
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-07-02,14.52
"4pssft0TgDfiQexjbe25lw==",game 3,2022-08-15,14.61
BTD3ZjLKfkT6ZRBT9zRwtg==,game 3,2022-06-09,22.62
B4tGKx0IrkPGAUEnO6mMNA==,game 3,2022-11-22,13.41
v9uJC6CIm0KR00+LpWQUBg==,game 3,2022-11-28,19.35
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-08-24,17.67
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-07-30,21.69
er3/fOrRpmyqiRaC0CaFcg==,game 3,2022-09-12,30.03
K/6KHxREKTlFZXRfBNVNuQ==,game 3,2022-09-20,18.18
AN9at3LlvDamqXq8dvHD4w==,game 3,2022-07-07,13.71
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-10-13,20.1
"7vnYIRqjBNlAyBbtPg02tQ==",game 3,2022-09-21,23.16
"8ncYOMYXeKDelzX40EnuLA==",game 3,2022-12-06,14.85
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,2022-10-16,22.47
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-10-18,20.07
r9AjQVS2nstu5lpVmDlihA==,game 3,2022-08-15,12.27
HRBsRwGu5mkTvZBTNpA0tQ==,game 3,2022-04-20,20.28
+Awa0l8QDZ6iKBSRiA6dRQ==,game 3,2022-10-09,34.59
zSepnWFgLH0tQb1s4mxKZQ==,game 3,2022-09-20,24.3
Dbff3x5cRk6/tUY3WQdzFQ==,game 3,2022-05-30,31.2
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-07-13,19.05
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-11-29,22.77
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-09-05,16.02
G+PCL1Jo+k4D3zpLGa3+aQ==,game 3,2022-12-26,14.22
"9IWUQ1iWPfYSSN2tWuVqMQ==",game 3,2022-08-09,26.76
Ghk2iJmzSUW4qLsmJgwOcw==,game 3,2022-06-05,14.94
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-08-27,13.53
cv6g2/jSkR+FwO58WY85DQ==,game 3,2022-08-01,23.34
T+RA0/fgzbUBLF89D4AEDA==,game 3,2022-06-12,16.23
B4b6v6eUHvAVOeAQk6EEiw==,game 3,2022-06-21,29.58
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-07-06,23.91
lJW2nxFOiXDfsmSrwGsFQw==,game 3,2022-09-25,24.87
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-12-12,13.35
A6QTeGOKjaGkGkRCFqNybw==,game 3,2022-08-08,13.62
B4tGKx0IrkPGAUEnO6mMNA==,game 3,2022-11-23,14.61
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,2022-06-08,14.16
er3/fOrRpmyqiRaC0CaFcg==,game 3,2022-09-21,27.24
"8TTRdxncZg7Nl0tvfwsZng==",game 3,2022-05-30,14.25
eoqO46DzxSrKA2rredUNyQ==,game 3,2022-10-06,16.65
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-05-26,13.23
dUXVADLWvf2uvh+Q6TNrMw==,game 3,2022-11-14,12.3
F03P4YcFbbtcWUlujjIQmQ==,game 3,2022-10-15,21.78
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-11-16,38.46
LO9NuZYI6zP2HXEBAS4wpw==,game 3,2022-10-12,14.49
OU1FxSli7e6szUGr2+7M9A==,game 3,2022-12-04,20.55
DqezK7HAqZ+GovyRuzxD1A==,game 3,2022-07-29,41.34
VAduzk1Og0uicXfMLD3VbQ==,game 3,2022-12-11,21.3
"7RkS5ikrXwWByJobMXv2sA==",game 3,2022-12-23,40.2
r9AjQVS2nstu5lpVmDlihA==,game 3,2022-07-02,24.84
"3Xuq0acIoGEgw19qflIoog==",game 3,2022-09-24,16.62
q8UcdT1sZCl07AqhDVz5ZA==,game 3,2022-08-10,15.18
Q0GNgLhqfwwVwtvQhJt58A==,game 3,2022-11-12,21.24
q8UcdT1sZCl07AqhDVz5ZA==,game 3,2022-10-08,33.0
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-06-13,22.14
tBFTAZra3r5TkHhDubnYyg==,game 3,2022-10-16,28.68
Ox0UcaMHdCuTLe5/JQrJMQ==,game 3,2022-10-05,20.25
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-04-10,16.62
ildaqkizLaFesmkjCvlzmQ==,game 3,2022-08-09,25.95
crKNTIblJ0113SKEtSJQHw==,game 3,2022-05-10,15.96
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,2022-07-04,23.19
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-07-14,17.1
"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,2022-11-10,24.84
q+yzIb2a/avnS9k89SDQVw==,game 3,2022-12-10,16.47
q8UcdT1sZCl07AqhDVz5ZA==,game 3,2022-09-16,17.97
"1BBMagZRq/39AV1l2rm4Iw==",game 3,2022-11-27,14.67
HxWcXHURvvtOJkrXAcDxQg==,game 3,2022-05-26,25.47
zmZPan/KZoyrIR2r/SvLdA==,game 3,2022-08-14,16.2
WDsSR+yQGqoMMBfCxqkZlw==,game 3,2022-10-01,17.94
OU1FxSli7e6szUGr2+7M9A==,game 3,2022-12-29,20.97
gxZPbCoYIu8slavUm05KGA==,game 3,2022-11-02,29.22
mzGpnrpyuOB+qfwTJ0XliQ==,game 3,2022-12-04,25.74
FnaqKQlPHm2pH1+S+K+Gfg==,game 3,2022-11-12,14.25
RwtKwrRSrVpyAMRaDyhr8g==,game 3,2022-09-20,15.21
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-09-22,15.69
"7GE5h/3N3lcro3K9T3aujw==",game 3,2022-06-19,16.47
lx3SsUV7NOrv93tCexVp5A==,game 3,2022-10-22,16.02
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-07-24,31.11
NMmQVq8bB84KydONJjvTfQ==,game 3,2022-03-13,15.33
"2be8IOVjt9pzDDEVqZwIKQ==",game 3,2022-12-17,18.0
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-05-24,27.33
gT0iqDKuIXNm4ceMd9eZ1A==,game 3,2022-07-08,14.19
ojVPXYZw2oeGtcmG7LcLGA==,game 3,2022-06-19,17.46
wDXJbTe2RLmAMKsPm5zZDg==,game 3,2022-08-27,21.03
"7SeM1pmnTTTXfhI+x3ldng==",game 3,2022-08-03,33.3
